page,error
_posts/global/global.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
_posts/national/cambodia/cambodia.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
_posts/national/india/india.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
_posts/national/indonesia/indonesia.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
_posts/national/japan/japan.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
_posts/national/laos/laos.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
_posts/national/nepal/nepal.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
_posts/national/south-korea/south-korea.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
_posts/national/thailand/thailand.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
_posts/national/vietnam/vietnam.Rmd,"list(message = ""unable to load shared object '/usr/local/lib/R/site-library/sf/libs/sf.so':\n  libproj.so.19: cannot open shared object file: No such file or directory"", call = dyn.load(file, DLLpath = DLLpath, ...))"
_posts/subnational/vietnam/angiang/angiang.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
_posts/subnational/vietnam/bacgiang/bacgiang.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
_posts/subnational/vietnam/backan/backan.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
_posts/subnational/vietnam/baclieu/baclieu.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
_posts/subnational/vietnam/bacninh/bacninh.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
_posts/subnational/vietnam/bariavungtau/bariavungtau.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
_posts/subnational/vietnam/bentre/bentre.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
_posts/subnational/vietnam/binhdinh/binhdinh.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
_posts/subnational/vietnam/binhduong/binhduong.Rmd,"list(message = ""package or namespace load failed for 'EpiNow2' in loadNamespace(j <- i[[1L]], c(lib.loc, .libPaths()), versionCheck = vI[[j]]):\n there is no package called 'R.methodsS3'"", call = NULL)"
